,Unnamed: 0,feature,fold_1,fold_2,fold_3,fold_4,fold_5,average
2,2,assists,16910,16349,16849,16619,16744,16694.2
3,3,boosts,44675,44004,43814,44704,44367,44312.8
4,4,damageDealt,169131,170708,172000,169082,171705,170525.19999999998
5,5,DBNOs,36572,36549,36979,36548,36611,36651.8
6,6,headshotKills,16132,15700,15921,16251,16296,16060.0
7,7,heals,41099,41506,42081,41811,41715,41642.4
8,8,kills,33750,33545,33766,33438,33700,33639.8
9,9,killStreaks,16978,16767,16588,16461,16513,16661.399999999998
10,10,longestKill,153093,152943,154048,152920,153287,153258.19999999998
12,12,matchType,53475,53487,53454,53154,52726,53259.2
13,13,revives,10076,9923,10296,10520,10386,10240.2
14,14,rideDistance,92561,92332,92200,91815,92265,92234.6
15,15,roadKills,799,528,746,649,664,677.1999999999998
16,16,swimDistance,17046,17666,16857,16544,16816,16985.8
17,17,teamKills,3360,3528,3563,3278,3468,3439.4
18,18,vehicleDestroys,1751,1756,1722,1564,1835,1725.6
19,19,walkDistance,171267,170767,171378,171087,170348,170969.4
20,20,weaponsAcquired,71899,72499,71627,71669,71619,71862.59999999999
21,21,killPlacePerc,230732,231056,229835,231117,231356,230819.2
22,22,item,64464,64382,63662,64431,65105,64408.8
23,23,distance,163611,163729,164050,163474,163252,163623.19999999998
24,24,walkDistance_heals,162646,161945,163278,162669,162813,162670.19999999998
25,25,walkDistance_boosts,162662,163269,162909,164009,162702,163110.19999999998
26,26,weapon_kills,91567,91423,91319,91831,90642,91356.4
27,27,teamwork,22519,22878,22936,22602,22609,22708.8
